"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01017","9546.00","2","46740",1221,1 
"01017","9546.00","3","46740",1291,1 
"01017","9547.00","1","46740",1300,1 
"01017","9547.00","2","46740",1563,1 
"01017","9547.00","3","46740",900,1 
"01017","9547.00","4","46740",1089,1 
"01019","9557.01","1"," ",1168,1 
"01019","9557.01","2"," ",1346,1 
"01019","9557.01","3"," ",818,1 
"01019","9557.02","1"," ",1743,1 
"01019","9557.02","2"," ",2129,1 
"01019","9558.00","1"," ",1590,1 
"01019","9558.00","2"," ",1515,1 
"01019","9558.00","3"," ",1419,1 
"01019","9558.00","4"," ",1037,1 
"01019","9559.00","1"," ",2015,1 
"01019","9559.00","2"," ",894,1 
"01019","9559.00","3"," ",1326,1 
"01019","9560.00","1"," ",1330,1 
"01019","9560.00","2"," ",778,1 
"01019","9560.00","3"," ",1909,1 
"01019","9561.00","1"," ",734,1 
"01019","9561.00","2"," ",1109,1 
"01019","9561.00","3"," ",1963,1 
"01019","9561.00","4"," ",1166,1 
"01021","0601.01","1","13820",864,1 
"01021","0601.01","2","13820",1012,1 
"01021","0601.01","3","13820",1620,1 
"01021","0601.01","4","13820",1723,1 
"01021","0601.02","1","13820",1066,1 
"01021","0601.02","2","13820",1472,1 
"01021","0601.02","3","13820",948,1 
"01021","0601.02","4","13820",705,1 
"01021","0601.02","5","13820",2112,1 
"01021","0602.00","1","13820",1585,1 
"01021","0602.00","2","13820",1222,1 
"01021","0603.00","1","13820",1996,1 
"01021","0603.00","2","13820",1812,1 
"01021","0604.01","1","13820",2029,1 
"01021","0604.01","2","13820",1361,1 
"01021","0604.01","3","13820",2076,1 
"01021","0604.02","1","13820",1642,1 
"01021","0604.02","2","13820",1674,1 
"01021","0604.02","3","13820",1943,1 
"01021","0604.02","4","13820",1933,1 
"01021","0604.02","5","13820",1584,1 
"01021","0605.00","1","13820",680,1 
"01021","0605.00","2","13820",1041,1 
"01021","0605.00","3","13820",1181,1 
"01021","0606.00","1","13820",1888,1 
"01021","0606.00","2","13820",1373,1 
"01021","0607.00","1","13820",938,1 
"01021","0607.00","2","13820",1367,1 
"01021","0607.00","3","13820",1196,1 
"01021","0607.00","4","13820",1600,1 
"01023","9567.00","1"," ",910,1 
"01023","9567.00","2"," ",595,1 
"01023","9567.00","3"," ",509,1 
"01023","9567.00","4"," ",1170,1 
"01023","9568.00","1"," ",538,1 
"01023","9568.00","2"," ",1335,1 
"01023","9568.00","3"," ",540,1 
"01023","9568.00","4"," ",630,1 
"01023","9568.00","5"," ",1380,1 
"01023","9569.00","1"," ",506,1 
"01023","9569.00","2"," ",1440,1 
"01023","9569.00","3"," ",648,1 
"01023","9569.00","4"," ",1285,1 
"01023","9570.00","1"," ",1331,1 
"01023","9570.00","2"," ",1042,1 
"01025","9575.00","1"," ",977,1 
"01025","9575.00","2"," ",783,1 
"01025","9576.01","1"," ",998,1 
"01025","9576.02","1"," ",704,1 
"01025","9576.02","2"," ",1026,1 
"01025","9576.02","3"," ",877,1 
"01025","9576.02","4"," ",1496,1 
"01025","9576.02","5"," ",1412,1 
"01025","9577.00","1"," ",668,1 
"01025","9577.00","2"," ",661,1 
"01025","9578.00","1"," ",560,1 
"01025","9578.00","2"," ",1530,1 
"01025","9578.00","3"," ",665,1 
"01025","9578.00","4"," ",528,1 
"01025","9578.00","5"," ",1124,1 
"01025","9578.00","6"," ",1081,1 
"01025","9579.01","1"," ",939,1 
"01025","9579.01","2"," ",2554,1 
"01025","9579.02","1"," ",768,1 
"01025","9579.02","2"," ",1045,1 
"01025","9579.02","3"," ",995,1 
"01025","9579.02","4"," ",1422,1 
"01025","9580.01","1"," ",1289,1 
"01025","9580.02","1"," ",1731,1 
"01027","9589.00","1"," ",1679,1 
"01027","9589.00","2"," ",1146,1 
"01027","9589.00","3"," ",1554,1 
"01027","9589.00","4"," ",945,1 
"01027","9590.00","1"," ",1321,1 
